order_id,order_date,customer_id,region_id,ship_mode,payment_method,delivery_time_days,shipping_cost,order_priority
O202306110036,6/11/2023,CUST_2112,R08,Overnight,visa,1,13.88,Urgent
O202302130037,2/13/2023,CUST_1409,R04,Overnight,iDEAL,1,10.52,low
O202504030038,4/3/2025,CUST_1370,R08,Standard,SEPA,6,10.64,Low
O202309160039,9/16/2023,CUST_1824,R04,Express,Bancontact,2,13.85,Medium
O202507240040,7/24/2025,CUST_1648,R01,Economy,Visa,5,0.14,High
O202409090041,9/9/2024,CUST_1185,R06,Overnight,Mastercard,1,15.28,Low
O202303160042,3/16/2023,CUST_1744,R06,STANDARD,visa,8,11.22,Low
O202407140043,7/14/2024,CUST_1208,R03,Express,Mastercard,2,14.52,Urgent
O202309210044,9/21/2023,CUST_2151,R08,Economy,PayPal,7,10.59,Medium
O202504300045,4/30/2025,CUST_1199,R01,Express,Bancontact,2,2.72,High
O202411120046,11/12/2024,CUST_1904,R03,express,Visa,2,9.04,Low
O202304240047,4/24/2023,CUST_1758,R02,Express,Mastercard,3,6.28,Medium
O202306160048,6/16/2023,CUST_1404,R06,Overnight,SEPA,1,12.55,Low
O202508100049,8/10/2025,CUST_1033,R07,Express,PayPal,2,4.47,low
O202212190050,12/19/2022,CUST_2003,R06,Express,Visa,3,4.89,Urgent
O202504050051,4/5/2025,CUST_1692,R01,Overnight,SEPA,1,10.47,MEDIUM
O202304140052,4/14/2023,CUST_1682,R01,Express,visa,,9.15,Low
O202412190053,12/19/2024,CUST_1409,R08,express,Bancontact,1,4.31,Urgent
O202409180054,9/18/2024,CUST_1752,R07,express,SEPA,2,5.52,Low
O202312010055,12/1/2023,CUST_2002,R05,Overnight,Visa,1,14.65,High
O202408140056,8/14/2024,CUST_2043,R02,Standard,visa,6,1.71,High
O202310290057,10/29/2023,CUST_1765,R02,Express,iDEAL,1,13.78,High
O202211280058,11/28/2022,CUST_1699,R02,Express,iDEAL,3,15.46,MEDIUM
O202409080059,9/8/2024,CUST_1217,R02,Standard,SEPA,6,11.9,High
O202311160060,11/16/2023,CUST_1188,R02,Standard,Bancontact,10,0.8,High
O202501010061,1/1/2025,CUST_1657,R04,express,visa,1,7.9,MEDIUM
O202311170062,11/17/2023,CUST_1961,R05,Economy,SEPA,13,0.98,Medium
O202509050063,9/5/2025,CUST_1013,R02,Express,Mastercard,2,8.64,Medium
O202307120064,7/12/2023,CUST_1156,R04,Express,visa,2,3.63,Urgent
O202406300065,6/30/2024,CUST_1845,R05,Express,Bancontact,2,11.73,low
O202211150066,11/15/2022,CUST_1516,R05,Express,Visa,1,5.49,MEDIUM
O202303040067,3/4/2023,CUST_1881,R02,Economy,visa,,11.87,High
O202408140068,8/14/2024,CUST_2205,R06,Economy,SEPA,13,1.05,Low
O202408150069,8/15/2024,CUST_1924,R06,Economy,visa,11,4.79,Urgent
O202408030070,8/3/2024,CUST_2119,R04,Express,iDEAL,1,5.63,Urgent
O202506030071,6/3/2025,CUST_1665,R07,express,visa,2,2.27,Urgent
O202503090072,3/9/2025,CUST_1051,R03,Overnight,Bancontact,1,10.08,Urgent
O202411180073,11/18/2024,CUST_1029,R07,Economy,Mastercard,6,2.93,High
O202212040074,12/4/2022,CUST_1802,R08,Express,PayPal,2,7.93,Medium
O202407140075,7/14/2024,CUST_2126,R05,Express,Mastercard,2,7.96,Urgent
O202309240076,9/24/2023,CUST_1999,R01,Overnight,Visa,1,5.16,Urgent
O202406150077,6/15/2024,CUST_1290,R04,STANDARD,Bancontact,6,0.21,Low
O202309210078,9/21/2023,CUST_1694,R05,Economy,iDEAL,10,9.56,low
O202405310079,5/31/2024,CUST_1699,R06,Economy,visa,6,15.48,High
O202212070080,12/7/2022,CUST_1916,R06,express,Mastercard,1,10.98,Low
O202507030081,7/3/2025,CUST_1575,R06,STANDARD,visa,7,14.38,Low
O202402120082,2/12/2024,CUST_2215,R04,Express,Bancontact,3,0.31,low
O202305150083,5/15/2023,CUST_1787,R03,STANDARD,PayPal,5,7.38,MEDIUM
O202404280084,4/28/2024,CUST_1138,R08,express,visa,1,4.41,Medium
O202411150085,11/15/2024,CUST_1121,R08,Express,Mastercard,,5.68,low
O202507160086,7/16/2025,CUST_2151,R03,Overnight,PayPal,1,5.01,low
O202312150087,12/15/2023,CUST_1386,R02,Overnight,SEPA,1,14.11,low
O202508290088,8/29/2025,CUST_1579,R04,express,Bancontact,3,0.17,Low
O202312240089,12/24/2023,CUST_1296,R05,Standard,Visa,10,6.72,Low
O202506100090,6/10/2025,CUST_1303,R08,Economy,Bancontact,12,7.08,Low
O202306090091,6/9/2023,CUST_1561,R08,Overnight,Mastercard,1,7.23,Medium
O202307220092,7/22/2023,CUST_1662,R01,Standard,Visa,7,5.88,Low
O202412080093,12/8/2024,CUST_2127,R01,Economy,Bancontact,14,2.84,low
O202301100094,1/10/2023,CUST_1580,R06,STANDARD,visa,9,8.16,MEDIUM
O202307290095,7/29/2023,CUST_2018,R02,Standard,Mastercard,6,2.61,MEDIUM
O202402250096,2/25/2024,CUST_1189,R06,Overnight,PayPal,1,5.48,High
O202508050097,8/5/2025,CUST_1821,R01,STANDARD,Bancontact,10,11.08,low
O202305030098,5/3/2023,CUST_1425,R08,Express,Visa,2,0.9,MEDIUM
O202212200099,12/20/2022,CUST_1108,R04,express,Visa,1,3.71,Medium
O202308090100,8/9/2023,CUST_2026,R06,Overnight,Bancontact,1,10.69,High
O202509100101,9/10/2025,CUST_1594,R08,Standard,SEPA,10,8.77,High
O202312150102,12/15/2023,CUST_2208,R01,Express,Mastercard,3,5.57,High
O202411230103,11/23/2024,CUST_2043,R03,express,Mastercard,1,14.6,MEDIUM
O202405300104,5/30/2024,CUST_1545,R06,STANDARD,Bancontact,6,12.03,Low
O202409160105,9/16/2024,CUST_1401,R06,Overnight,Bancontact,1,4.55,High
O202505010106,5/1/2025,CUST_2049,R07,Express,Mastercard,1,12.83,MEDIUM
O202312270107,12/27/2023,CUST_1410,R05,Economy,SEPA,7,13.04,Low
O202506070108,6/7/2025,CUST_1112,R04,STANDARD,visa,7,0.38,High
O202401180109,1/18/2024,CUST_1371,R06,Express,Bancontact,3,5.22,Urgent
O202310050110,10/5/2023,CUST_2007,R08,STANDARD,iDEAL,7,10.64,Medium
O202304090111,4/9/2023,CUST_1220,R01,Standard,iDEAL,5,15.1,High
O202407140112,7/14/2024,CUST_1912,R07,Economy,iDEAL,6,5.87,MEDIUM
O202311260113,11/26/2023,CUST_1867,R06,Standard,PayPal,8,4.74,High
O202307040114,7/4/2023,CUST_1619,R03,Overnight,Bancontact,1,14.15,Medium
O202307050115,7/5/2023,CUST_1063,R08,Express,Visa,1,3.75,low
O202405130116,5/13/2024,CUST_1554,R01,Economy,iDEAL,11,11.03,Medium
O202303140117,3/14/2023,CUST_1815,R07,Standard,Visa,8,7.43,Medium
O202211280118,11/28/2022,CUST_2182,R01,Economy,Visa,8,11.47,Medium
O202405010119,5/1/2024,CUST_1050,R05,Express,Mastercard,3,0.03,MEDIUM
O202301300120,1/30/2023,CUST_2154,R07,STANDARD,SEPA,8,11.41,MEDIUM
O202302050121,2/5/2023,CUST_1587,R06,Standard,iDEAL,7,7.54,Medium
O202412040122,12/4/2024,CUST_1761,R03,Overnight,SEPA,1,6.49,low
O202501310123,1/31/2025,CUST_1763,R08,Overnight,visa,1,12.99,Urgent
O202502130124,2/13/2025,CUST_1738,R07,Standard,iDEAL,7,5.31,Low
O202506130125,6/13/2025,CUST_1924,R03,Standard,PayPal,9,15.67,Medium
O202409300126,9/30/2024,CUST_2107,R03,STANDARD,Mastercard,6,6.32,Urgent
O202306180127,6/18/2023,CUST_2027,R01,STANDARD,Visa,,14.91,MEDIUM
O202310040128,10/4/2023,CUST_1465,R06,express,Visa,2,12.71,low
O202501170129,1/17/2025,CUST_2072,R07,Express,iDEAL,2,10.97,High
O202402060130,2/6/2024,CUST_1930,R03,Economy,visa,7,14.25,low
O202306090131,6/9/2023,CUST_2015,R03,Standard,SEPA,7,6.48,Medium
O202305170132,5/17/2023,CUST_1392,R01,Standard,Visa,7,2.96,MEDIUM
O202303270133,3/27/2023,CUST_1138,R05,express,Visa,2,10.55,High
O202407070134,7/7/2024,CUST_1703,R07,Overnight,Mastercard,1,9.88,Urgent
O202301250135,1/25/2023,CUST_2007,R01,express,PayPal,2,11.18,Urgent
O202305200136,5/20/2023,CUST_1866,R06,Economy,Bancontact,4,15.36,High
O202506300137,6/30/2025,CUST_1517,R02,Standard,Mastercard,10,10.07,High
O202505200138,5/20/2025,CUST_1778,R06,Express,iDEAL,2,4.94,MEDIUM
O202505130139,5/13/2025,CUST_1444,R07,Standard,Visa,10,13.76,High
O202509020140,9/2/2025,CUST_1911,R02,STANDARD,Mastercard,8,9.01,low
O202302080141,2/8/2023,CUST_1519,R02,Economy,iDEAL,11,7.21,Medium
O202301210142,1/21/2023,CUST_1595,R06,express,Visa,3,13.36,Medium
O202507150143,7/15/2025,CUST_1996,R04,Standard,Bancontact,10,14.44,Urgent
O202301290144,1/29/2023,CUST_1620,R03,Express,PayPal,3,7.87,MEDIUM
O202504290145,4/29/2025,CUST_1238,R02,Express,Mastercard,1,15.1,low
O202212190146,12/19/2022,CUST_1898,R08,Overnight,visa,1,0.33,low
O202411240147,11/24/2024,CUST_2114,R02,express,Bancontact,1,8.89,Urgent
O202303180148,3/18/2023,CUST_1134,R02,Overnight,SEPA,1,6.4,Medium
O202308090149,8/9/2023,CUST_1248,R01,Express,Visa,3,3.13,MEDIUM
O202412040150,12/4/2024,CUST_2142,R05,express,Visa,3,6.59,low
O202301210151,1/21/2023,CUST_1476,R04,Express,PayPal,1,6.23,Low
O202303030152,3/3/2023,CUST_2045,R01,Standard,iDEAL,10,8.46,Low
O202308080153,8/8/2023,CUST_1655,R04,express,visa,1,7.57,Urgent
O202401130154,1/13/2024,CUST_1203,R03,express,iDEAL,3,13.7,High
O202308270155,8/27/2023,CUST_1261,R03,Standard,Bancontact,9,1.16,Medium
O202403200156,3/20/2024,CUST_1847,R06,Express,visa,2,12,High
O202408180157,8/18/2024,CUST_1809,R01,Express,SEPA,3,6.23,low
O202402040158,2/4/2024,CUST_1261,R08,STANDARD,visa,9,10.3,MEDIUM
O202309190159,9/19/2023,CUST_1495,R05,express,visa,1,0.49,High
O202304230160,4/23/2023,CUST_1299,R01,Overnight,PayPal,1,7.41,Low
O202407140161,7/14/2024,CUST_2097,R06,Overnight,visa,1,8.16,Urgent
O202308090162,8/9/2023,CUST_1962,R06,Standard,SEPA,8,8.5,low
O202303090163,3/9/2023,CUST_1516,R05,Overnight,visa,1,8.19,Low
O202408250164,8/25/2024,CUST_1491,R04,Overnight,PayPal,1,5.34,MEDIUM
O202502200165,2/20/2025,CUST_1571,R05,STANDARD,Bancontact,10,12.25,Medium
O202406270166,6/27/2024,CUST_1390,R06,Economy,iDEAL,12,12.73,low
O202510010167,10/1/2025,CUST_1356,R02,Economy,SEPA,8,3.28,MEDIUM
O202409210168,9/21/2024,CUST_1375,R08,Overnight,Mastercard,1,11.44,low
O202505290169,5/29/2025,CUST_2101,R06,Express,PayPal,3,1.98,Urgent
O202501140170,1/14/2025,CUST_1007,R02,Express,visa,2,7.25,low
O202405210171,5/21/2024,CUST_2047,R07,Express,PayPal,1,10.02,Urgent
O202306100172,6/10/2023,CUST_1976,R07,express,PayPal,1,1.96,High
O202301240173,1/24/2023,CUST_1144,R05,Standard,iDEAL,9,12.5,MEDIUM
O202503160174,3/16/2025,CUST_1420,R01,Economy,iDEAL,,5.38,low
O202405210175,5/21/2024,CUST_1583,R07,Express,Mastercard,1,9.1,Low
O202410250176,10/25/2024,CUST_1485,R03,Standard,iDEAL,9,3.51,Urgent
O202312220177,12/22/2023,CUST_2110,R01,Express,Visa,3,15.61,Low
O202507230178,7/23/2025,CUST_1256,R02,Express,visa,2,7.33,Medium
O202310220179,10/22/2023,CUST_1452,R05,Standard,Visa,6,6.94,low
O202412310180,12/31/2024,CUST_1914,R04,Express,Visa,1,7.08,Medium
O202412270181,12/27/2024,CUST_1779,R01,STANDARD,visa,7,10.74,Urgent
O202510090182,10/9/2025,CUST_1702,R06,Standard,Bancontact,9,13.37,low
O202312260183,12/26/2023,CUST_1764,R03,Economy,Visa,13,10.9,Medium
O202502050184,2/5/2025,CUST_1425,R04,Overnight,PayPal,1,3.97,Low
O202402160185,2/16/2024,CUST_1778,R08,Standard,SEPA,9,11.13,Urgent
O202212150186,12/15/2022,CUST_1797,R06,Overnight,Bancontact,1,6.96,Urgent
O202503180187,3/18/2025,CUST_1184,R07,Overnight,PayPal,1,5.85,Low
O202507080188,7/8/2025,CUST_1324,R03,Express,visa,3,9.56,Medium
O202301140189,1/14/2023,CUST_1782,R06,Standard,visa,6,14.61,High
O202302110190,2/11/2023,CUST_1513,R02,STANDARD,PayPal,8,2.26,Urgent
O202405240191,5/24/2024,CUST_1381,R04,express,PayPal,1,3.7,High
O202302150192,2/15/2023,CUST_2173,R03,Overnight,iDEAL,1,6.75,Medium
O202402270193,2/27/2024,CUST_1036,R04,STANDARD,SEPA,5,1.62,Medium
O202510290194,10/29/2025,CUST_1255,R08,STANDARD,visa,7,2.44,Medium
O202403180195,3/18/2024,CUST_1018,R06,Express,visa,2,0.33,low
O202302250196,2/25/2023,CUST_1807,R03,Express,Visa,2,2.11,low
O202411220197,11/22/2024,CUST_2176,R05,express,Mastercard,2,1.75,Medium
O202309280198,9/28/2023,CUST_1087,R02,express,Mastercard,1,8.44,Urgent
O202501170199,1/17/2025,CUST_2128,R07,STANDARD,Bancontact,10,5.65,low
O202502070200,2/7/2025,CUST_1515,R07,Express,iDEAL,2,0.58,High
O202411220201,11/22/2024,CUST_1612,R02,STANDARD,Bancontact,8,5.96,Low
O202507250202,7/25/2025,CUST_1407,R01,Express,Bancontact,3,7.18,low
O202308140203,8/14/2023,CUST_1619,R07,Express,Mastercard,1,14.41,Low
O202507240204,7/24/2025,CUST_1818,R08,Economy,Bancontact,9,7.39,Urgent
O202302140205,2/14/2023,CUST_1503,R03,Economy,Visa,8,5.59,Urgent
O202504060206,4/6/2025,CUST_1160,R05,Overnight,visa,1,7.61,Urgent
O202303190207,3/19/2023,CUST_1722,R06,Express,PayPal,3,15.82,Medium
O202405060208,5/6/2024,CUST_1123,R01,STANDARD,Mastercard,10,0.39,Urgent
O202409150209,9/15/2024,CUST_1943,R06,STANDARD,PayPal,7,12.78,low
O202307110210,7/11/2023,CUST_1898,R08,express,visa,3,12.43,MEDIUM
O202509020211,9/2/2025,CUST_1138,R03,express,PayPal,3,11.67,MEDIUM
O202405010212,5/1/2024,CUST_1295,R03,Express,Visa,3,6.29,High
O202301300213,1/30/2023,CUST_1621,R01,Express,Mastercard,2,6.66,Medium
O202503240214,3/24/2025,CUST_2121,R05,Express,Visa,1,0.6,MEDIUM
O202507160215,7/16/2025,CUST_1136,R04,express,Mastercard,3,1.28,Urgent
O202410020216,10/2/2024,CUST_1763,R08,Overnight,iDEAL,1,14.18,MEDIUM
O202409080217,9/8/2024,CUST_1669,R03,Economy,SEPA,13,4.45,low
O202403170218,3/17/2024,CUST_1464,R01,express,Bancontact,2,8.12,Urgent
O202502060219,2/6/2025,CUST_1106,R05,Overnight,Visa,1,8.85,Medium
O202403240220,3/24/2024,CUST_1951,R03,Standard,SEPA,9,6.58,Urgent
O202503080221,3/8/2025,CUST_2161,R06,Overnight,Visa,1,9.94,MEDIUM
O202303160222,3/16/2023,CUST_1643,R01,express,Bancontact,2,7.55,High
O202409140223,9/14/2024,CUST_1759,R02,Overnight,Mastercard,1,15.91,Urgent
O202401130224,1/13/2024,CUST_1831,R07,Express,PayPal,1,2.63,Medium
O202408310225,8/31/2024,CUST_2216,R07,Standard,Visa,5,11.76,Medium
O202503270226,3/27/2025,CUST_2009,R02,Economy,SEPA,6,0.03,Medium
O202301060227,1/6/2023,CUST_1274,R05,Overnight,SEPA,1,13.19,Low
O202304290228,4/29/2023,CUST_1083,R03,Overnight,PayPal,1,15.89,High
O202301200229,1/20/2023,CUST_1001,R04,Express,Bancontact,2,9.46,low
O202510130230,10/13/2025,CUST_1147,R05,Express,Visa,2,4.15,MEDIUM
O202509200231,9/20/2025,CUST_1197,R08,STANDARD,Mastercard,10,6.27,Low
O202309300232,9/30/2023,CUST_1969,R08,Overnight,iDEAL,1,10.42,Urgent
O202503060233,3/6/2025,CUST_1482,R05,Economy,PayPal,7,2.37,Medium
O202301150234,1/15/2023,CUST_1163,R01,STANDARD,Visa,6,7.16,Medium
O202303310235,3/31/2023,CUST_1579,R06,Economy,PayPal,13,7.68,Urgent
O202307100236,7/10/2023,CUST_2131,R05,Economy,Mastercard,11,5.81,Urgent
O202311280237,11/28/2023,CUST_1707,R02,Standard,Visa,7,12.96,Urgent
O202501230238,1/23/2025,CUST_1663,R08,Express,visa,2,11.28,MEDIUM
O202408060239,8/6/2024,CUST_2161,R03,Standard,visa,6,6.63,Urgent
O202409160240,9/16/2024,CUST_1304,R01,Express,Mastercard,3,15.27,Medium
O202311050241,11/5/2023,CUST_1856,R01,Standard,SEPA,7,12.76,Low
O202409210242,9/21/2024,CUST_1006,R02,express,visa,3,2.36,MEDIUM
O202508310243,8/31/2025,CUST_1561,R07,STANDARD,iDEAL,9,3.14,MEDIUM
O202301200244,1/20/2023,CUST_1932,R05,STANDARD,visa,8,5.31,Urgent
O202303090245,3/9/2023,CUST_1972,R07,express,iDEAL,3,5.03,low
O202401310246,1/31/2024,CUST_1921,R05,Overnight,SEPA,1,13.03,MEDIUM
O202404040247,4/4/2024,CUST_1809,R05,Standard,iDEAL,6,15.18,Urgent
O202403040248,3/4/2024,CUST_1814,R01,express,Visa,1,4.36,low
O202503030249,3/3/2025,CUST_1034,R05,STANDARD,SEPA,5,9.25,low
O202406110250,6/11/2024,CUST_1238,R04,express,iDEAL,3,8.69,Medium
O202211300251,11/30/2022,CUST_1880,R02,Overnight,SEPA,1,7.65,High
O202307240252,7/24/2023,CUST_1529,R03,Economy,PayPal,14,2.58,Urgent
O202312230253,12/23/2023,CUST_1336,R06,Standard,visa,7,8.65,low
O202303210254,3/21/2023,CUST_1157,R03,Standard,visa,5,1.05,Low
O202311020255,11/2/2023,CUST_1233,R08,Overnight,Visa,1,13.32,low
O202506100256,6/10/2025,CUST_2047,R02,express,SEPA,3,1.33,High
O202410240257,10/24/2024,CUST_1362,R07,Express,iDEAL,2,14.53,low
O202304260258,4/26/2023,CUST_1130,R03,Express,PayPal,1,11,Medium
O202507080259,7/8/2025,CUST_1720,R01,Overnight,visa,1,12.07,High
O202509150260,9/15/2025,CUST_1825,R04,Express,Mastercard,3,12.34,MEDIUM
O202303180261,3/18/2023,CUST_1465,R08,STANDARD,visa,8,10.25,Medium
O202301250262,1/25/2023,CUST_1075,R08,Express,Visa,3,15.75,Low
O202409240263,9/24/2024,CUST_1852,R01,Overnight,visa,1,2.14,High
O202510020264,10/2/2025,CUST_2150,R02,STANDARD,Mastercard,8,15.89,MEDIUM
O202409280265,9/28/2024,CUST_1246,R01,Economy,PayPal,7,13.11,Low
O202301190266,1/19/2023,CUST_1219,R01,Overnight,SEPA,1,2.18,Low
O202412170267,12/17/2024,CUST_1314,R05,Overnight,visa,1,1.19,low
O202411150268,11/15/2024,CUST_1154,R08,Overnight,SEPA,1,0.36,Low
O202409020269,9/2/2024,CUST_1379,R02,Express,iDEAL,3,1.6,High
O202305140270,5/14/2023,CUST_1542,R06,Overnight,Visa,1,3.39,High
O202402180271,2/18/2024,CUST_1101,R05,Overnight,visa,1,12.04,High
O202407010272,7/1/2024,CUST_2132,R05,Standard,Bancontact,5,14,High
O202409130273,9/13/2024,CUST_1552,R01,Express,Visa,1,9.38,High
O202507040274,7/4/2025,CUST_1088,R08,Overnight,Bancontact,1,4.22,low
O202403220275,3/22/2024,CUST_1168,R06,Express,Mastercard,3,11.18,High
O202212050276,12/5/2022,CUST_1964,R04,Economy,SEPA,6,15.27,MEDIUM
O202509090277,9/9/2025,CUST_1489,R07,Standard,SEPA,9,9.2,MEDIUM
O202311200278,11/20/2023,CUST_2009,R04,Standard,Bancontact,6,6.2,low
O202406220279,6/22/2024,CUST_1706,R03,express,iDEAL,2,4.59,Medium
O202307140280,7/14/2023,CUST_1861,R05,Economy,iDEAL,,1.83,low
O202311270281,11/27/2023,CUST_1519,R03,STANDARD,Mastercard,10,15.43,Medium
O202307300282,7/30/2023,CUST_1083,R04,Express,SEPA,1,10.91,Medium
O202401210283,1/21/2024,CUST_1567,R02,STANDARD,Visa,10,1.77,MEDIUM
O202211290284,11/29/2022,CUST_1847,R02,Overnight,Mastercard,1,2.34,MEDIUM
O202307110285,7/11/2023,CUST_1756,R06,express,Bancontact,3,4.39,MEDIUM
O202312180286,12/18/2023,CUST_1299,R04,express,PayPal,1,13.69,MEDIUM
O202403120287,3/12/2024,CUST_2004,R08,Overnight,Bancontact,1,0.05,Urgent
O202309210288,9/21/2023,CUST_1126,R01,Economy,Bancontact,12,6.59,Low
O202308160289,8/16/2023,CUST_1581,R05,Express,Bancontact,1,12.16,High
O202505190290,5/19/2025,CUST_1713,R05,Economy,Mastercard,11,13.78,Urgent
O202501080291,1/8/2025,CUST_1553,R03,express,Mastercard,2,0.27,Medium
O202507230292,7/23/2025,CUST_1788,R04,STANDARD,iDEAL,10,1.75,MEDIUM
O202411290293,11/29/2024,CUST_2070,R05,Economy,Visa,8,8.24,Low
O202502040294,2/4/2025,CUST_1042,R02,STANDARD,Visa,6,4.02,Medium
O202510210295,10/21/2025,CUST_1375,R08,STANDARD,Visa,6,5.22,MEDIUM
O202503090296,3/9/2025,CUST_2164,R06,Standard,Bancontact,6,11.69,MEDIUM
O202503200297,3/20/2025,CUST_1515,R05,STANDARD,Mastercard,10,13.43,low
O202410310298,10/31/2024,CUST_1197,R07,express,iDEAL,1,5.18,Low
O202410310299,10/31/2024,CUST_1966,R04,STANDARD,PayPal,8,15.27,High
O202304060300,4/6/2023,CUST_1212,R03,Express,Bancontact,1,6.58,MEDIUM
O202303290301,3/29/2023,CUST_1211,R08,Economy,Mastercard,7,3.48,High
O202301140302,1/14/2023,CUST_1526,R01,STANDARD,Bancontact,5,10.26,Urgent
O202401030303,1/3/2024,CUST_1192,R06,Express,iDEAL,1,3.99,low
O202511040304,11/4/2025,CUST_1494,R01,express,SEPA,2,10.48,MEDIUM
O202211140305,11/14/2022,CUST_2003,R04,express,PayPal,1,9.3,low
O202405220306,5/22/2024,CUST_1001,R07,Economy,PayPal,9,8.87,Medium
O202212260307,12/26/2022,CUST_1200,R01,Economy,PayPal,7,2.5,MEDIUM
O202302010308,2/1/2023,CUST_1368,R04,Express,Mastercard,1,0.98,Urgent
O202402060309,2/6/2024,CUST_1276,R01,Standard,SEPA,10,10,Low
O202504030310,4/3/2025,CUST_1316,R02,Express,Bancontact,,5.97,low
O202310250311,10/25/2023,CUST_1861,R02,Standard,visa,6,2.45,High
O202504090312,4/9/2025,CUST_1470,R03,Overnight,SEPA,1,8.85,MEDIUM
O202510230313,10/23/2025,CUST_2212,R06,express,Mastercard,3,9.05,Urgent
O202503200314,3/20/2025,CUST_1353,R08,Overnight,PayPal,1,3.42,MEDIUM
O202212120315,12/12/2022,CUST_1402,R07,Overnight,Bancontact,1,7.41,High
O202306250316,6/25/2023,CUST_1260,R01,Express,SEPA,3,13.67,low
O202507090317,7/9/2025,CUST_1809,R03,Standard,iDEAL,6,3.7,Medium
O202403070318,3/7/2024,CUST_1104,R02,Express,iDEAL,3,8.37,High
O202404150319,4/15/2024,CUST_1535,R06,STANDARD,Mastercard,6,7.82,Medium
O202308140320,8/14/2023,CUST_1452,R02,STANDARD,Mastercard,9,6.73,MEDIUM
O202304140321,4/14/2023,CUST_1660,R08,Express,SEPA,2,5.39,High
O202211240322,11/24/2022,CUST_1056,R01,Economy,Visa,5,12.08,MEDIUM
O202304160323,4/16/2023,CUST_1170,R04,express,visa,1,14.26,MEDIUM
O202411300324,11/30/2024,CUST_1118,R01,Economy,Mastercard,9,10.72,low
O202406160325,6/16/2024,CUST_1599,R05,Express,Visa,3,9.58,low
O202507040326,7/4/2025,CUST_1589,R08,STANDARD,visa,5,13.15,Low
O202508230327,8/23/2025,CUST_1087,R06,express,Bancontact,1,7.45,High
O202302090328,2/9/2023,CUST_1006,R05,Express,Bancontact,2,1.41,MEDIUM
O202509220329,9/22/2025,CUST_1564,R03,express,Bancontact,3,6.59,Low
O202509130330,9/13/2025,CUST_1467,R06,Overnight,SEPA,1,4.95,Medium
O202412080331,12/8/2024,CUST_1086,R01,Economy,Bancontact,4,3.83,low
O202505310332,5/31/2025,CUST_1728,R01,STANDARD,visa,10,13.66,low
