order_detail_id,order_id,product_id,quantity,discount,tax_rate,total_price,profit,unit_price,cost_price,is_loss_sale
OD0000072,O202411140035,P139,3,0.09,0.21,279.79,33.08,84.7,66.05,False
OD0000073,O202411140035,P136,5,0.1,0.21,8048.31,1137.99,1478.11,1102.7,False
OD0000074,O202306110036,P132,3,0.08,0.21,1721.73,476.12,515.55,315.6,False
OD0000075,O202302130037,P124,3,0.0,0.21,730.68,188.73,201.29,138.38,False
OD0000076,O202302130037,P150,5,0.19,0.21,2484.5,38.16,506.99,403.03,False
OD0000077,O202504030038,P135,2,0.12,0.21,1562.27,337.08,733.6,477.03,False
OD0000078,O202504030038,P130,1,0.22,0.21,1112.82,215.06,1179.08,704.62,False
OD0000079,O202309160039,P105,2,0.23,0.21,450.31,65.66,241.66,153.25,False
OD0000080,O202507240040,P123,2,0.2,0.21,2552.09,602.67,1318.23,753.25,False
OD0000081,O202507240040,P105,3,0.15,0.21,745.64,156.48,241.66,153.25,False
OD0000082,O202409090041,P144,3,0.14,0.21,2162.91,126.73,692.84,553.6,False
OD0000083,O202409090041,P134,2,0.27,0.21,150.81,-4.96,85.37,64.8,True
OD0000084,O202303160042,P109,3,0.26,0.21,1139.41,125.72,424.17,271.98,False
OD0000085,O202303160042,P140,2,0.21,0.21,2444.24,230.13,1278.5,894.9499999999999,False
OD0000086,O202407140043,P122,2,0.11,0.21,1589.55,367.92,738.02,472.88,False
OD0000087,O202407140043,P144,3,0.13,0.21,2188.06,147.51,692.84,553.6,False
OD0000088,O202407140043,P151,4,0.22,0.21,2443.5,207.12,647.25,453.075,False
OD0000089,O202407140043,P141,5,0.22,0.21,6667.85,602.42,1412.98,981.64,False
OD0000090,O202309210044,P131,1,0.14,0.21,647.82,184.55,622.54,350.83,False
OD0000091,O202309210044,P158,1,0.0,0.21,562.32,182.69,464.73,282.04,False
OD0000092,O202309210044,P159,1,0.0,0.21,514.38,127.53,425.11,297.577,False
OD0000093,O202504300045,P102,2,0.03,0.21,134.62,30.97,57.35,40.145,False
OD0000094,O202411120046,P138,3,0.03,0.21,1177.35,270.84,334.37,234.059,False
OD0000095,O202304240047,P153,4,0.07,0.21,6074.28,889.71,1349.48,1032.59,False
OD0000096,O202306160048,P159,3,0.0,0.21,1543.15,382.6,425.11,297.577,False
OD0000097,O202306160048,P109,2,0.07,0.21,954.64,245.0,424.17,271.98,False
OD0000098,O202508100049,P148,2,0.0,0.21,1006.21,225.02,415.79,303.28,False
OD0000099,O202508100049,P113,4,0.0,0.21,1569.9,299.6,324.36,249.46,False
OD0000100,O202508100049,P118,3,0.0,0.21,2898.12,562.38,798.38,610.92,False
OD0000101,O202212190050,P156,4,0.15,0.21,5708.13,1093.75,1387.49,905.93,False
OD0000102,O202212190050,P154,1,0.19,0.21,159.9,6.36,163.15,125.79,False
OD0000103,O202504050051,P112,4,0.06,0.21,1598.14,337.22,351.27,245.889,False
OD0000104,O202304140052,P146,4,0.11,0.21,2855.46,701.01,662.89,414.72,False
OD0000105,O202304140052,P140,1,0.22,0.21,1206.65,102.28,1278.5,894.9499999999999,False
OD0000106,O202304140052,P153,5,0.03,0.21,7919.42,1382.03,1349.48,1032.59,False
OD0000107,O202304140052,P155,3,0.17,0.21,3911.53,301.1,1298.26,977.19,False
OD0000108,O202412190053,P136,1,0.1,0.21,1609.66,227.6,1478.11,1102.7,False
OD0000109,O202409180054,P136,4,0.23,0.21,5508.62,141.78,1478.11,1102.7,False
OD0000110,O202409180054,P101,2,0.1,0.21,2428.27,702.66,1114.91,652.09,False
OD0000111,O202409180054,P144,5,0.19,0.21,3395.26,38.0,692.84,553.6,False
OD0000112,O202409180054,P135,4,0.29,0.21,2520.94,175.3,733.6,477.03,False
OD0000113,O202312010055,P131,5,0.28,0.21,2711.78,486.99,622.54,350.83,False
OD0000114,O202312010055,P137,5,0.07,0.21,8081.9,1731.26,1436.4,989.6,False
OD0000115,O202408140056,P137,1,0.19,0.21,1407.82,173.88,1436.4,989.6,False
OD0000116,O202310290057,P159,4,0.04,0.21,1975.23,442.11,425.11,297.577,False
OD0000117,O202310290057,P116,1,0.2,0.21,744.58,76.92,769.19,538.433,False
OD0000118,O202310290057,P103,2,0.11,0.21,1822.65,278.71,846.25,613.81,False
OD0000119,O202310290057,P155,3,0.12,0.21,4147.16,495.84,1298.26,977.19,False
OD0000120,O202211280058,P129,2,0.06,0.21,2290.2,718.67,1006.77,587.03,False
OD0000121,O202211280058,P103,2,0.24,0.21,1556.42,58.68,846.25,613.81,False
OD0000122,O202211280058,P127,4,0.24,0.21,1889.74,313.33,513.74,312.11,False
OD0000123,O202211280058,P124,5,0.08,0.21,1120.38,234.03,201.29,138.38,False
OD0000124,O202409080059,P159,1,0.0,0.21,514.38,127.53,425.11,297.577,False
OD0000125,O202409080059,P143,4,0.25,0.21,1472.91,62.68,405.76,288.65,False
OD0000126,O202311160060,P117,4,0.18,0.21,985.69,120.1,248.36,173.63,False
OD0000127,O202311160060,P124,3,0.02,0.21,716.07,176.65,201.29,138.38,False
OD0000128,O202311160060,P129,4,0.0,0.21,4872.77,1678.96,1006.77,587.03,False
OD0000129,O202501010061,P104,2,0.17,0.21,852.65,76.67,424.5,314.0,False
OD0000130,O202311170062,P135,5,0.16,0.21,3728.16,695.97,733.6,477.03,False
OD0000131,O202311170062,P139,2,0.26,0.21,151.68,-6.74,84.7,66.05,True
OD0000132,O202311170062,P117,2,0.08,0.21,552.95,109.72,248.36,173.63,False
OD0000133,O202311170062,P122,2,0.05,0.21,1696.71,456.48,738.02,472.88,False
OD0000134,O202509050063,P136,4,0.0,0.21,7154.05,1501.64,1478.11,1102.7,False
OD0000135,O202509050063,P149,1,0.27,0.21,339.33,64.27,384.16,216.17,False
OD0000136,O202509050063,P103,3,0.0,0.21,3071.89,697.32,846.25,613.81,False
OD0000137,O202509050063,P156,5,0.1,0.21,7554.88,1714.06,1387.49,905.93,False
OD0000138,O202307120064,P107,3,0.0,0.21,462.46,111.93,127.4,90.09,False
OD0000139,O202307120064,P136,3,0.0,0.21,5365.54,1126.23,1478.11,1102.7,False
OD0000140,O202406300065,P118,4,0.21,0.21,3052.69,79.2,798.38,610.92,False
OD0000141,O202211150066,P159,2,0.08,0.21,946.46,187.05,425.11,297.577,False
OD0000142,O202211150066,P157,2,0.12,0.21,364.27,39.47,171.05,130.79,False
OD0000143,O202303040067,P118,2,0.22,0.21,1507.02,23.63,798.38,610.92,False
OD0000144,O202303040067,P122,2,0.22,0.21,1393.09,-308.33,738.02,472.88,True
OD0000145,O202408140068,P117,1,0.03,0.21,291.5,67.28,248.36,173.63,False
OD0000146,O202408150069,P109,3,0.28,0.21,1108.61,100.27,424.17,271.98,False
OD0000147,O202408150069,P153,4,0.1,0.21,5878.33,727.77,1349.48,1032.59,False
OD0000148,O202408030070,P153,4,0.05,0.21,6204.91,997.66,1349.48,1032.59,False
OD0000149,O202408030070,P136,5,0.0,0.21,8942.57,1877.05,1478.11,1102.7,False
OD0000150,O202506030071,P150,4,0.28,0.21,1766.76,-151.99,506.99,403.03,True
OD0000151,O202506030071,P150,5,0.0,0.21,3067.29,519.8,506.99,403.03,False
OD0000152,O202506030071,P101,2,0.0,0.21,2698.08,925.64,1114.91,652.09,False
OD0000153,O202503090072,P146,1,0.2,0.21,641.68,115.59,662.89,414.72,False
OD0000154,O202503090072,P159,1,0.21,0.21,406.36,38.26,425.11,297.577,False
OD0000155,O202411180073,P105,4,0.06,0.21,1099.46,295.64,241.66,153.25,False
OD0000156,O202411180073,P104,2,0.11,0.21,914.29,127.61,424.5,314.0,False
OD0000157,O202212040074,P131,1,0.02,0.21,738.21,259.26,622.54,350.83,False
OD0000158,O202212040074,P116,4,0.28,0.21,2680.47,61.54,769.19,538.433,False
OD0000159,O202407140075,P112,3,0.03,0.21,1236.86,284.53,351.27,245.889,False
OD0000160,O202407140075,P109,1,0.1,0.21,461.92,109.77,424.17,271.98,False
OD0000161,O202309240076,P113,2,0.11,0.21,698.61,78.44,324.36,249.46,False
OD0000162,O202406150077,P129,3,0.02,0.21,3581.48,1198.81,1006.77,587.03,False
OD0000163,O202406150077,P116,1,0.11,0.21,828.34,146.15,769.19,538.433,False
OD0000164,O202309210078,P133,2,0.3,0.21,1081.79,111.82,638.6,391.11,False
OD0000165,O202309210078,P145,3,0.12,0.21,1294.18,133.42,405.14,312.05,False
OD0000166,O202405310079,P120,2,0.0,0.21,3528.63,942.18,1458.11,987.02,False
OD0000167,O202212070080,P114,3,0.04,0.21,4628.44,1491.34,1328.18,777.94,False
OD0000168,O202212070080,P153,4,0.06,0.21,6139.59,943.68,1349.48,1032.59,False
OD0000169,O202507030081,P132,1,0.09,0.21,567.67,153.55,515.55,315.6,False
OD0000170,O202507030081,P146,2,0.22,0.21,1251.27,204.67,662.89,414.72,False
OD0000171,O202402120082,P133,2,0.26,0.21,1143.6,162.91,638.6,391.11,False
OD0000172,O202305150083,P133,3,0.25,0.21,1738.59,263.52,638.6,391.11,False
OD0000173,O202305150083,P149,5,0.21,0.21,1836.09,436.58,384.16,216.17,False
OD0000174,O202305150083,P127,3,0.14,0.21,1603.79,389.12,513.74,312.11,False
OD0000175,O202404280084,P115,3,0.2,0.21,1165.9,30.76,401.48,310.93,False
OD0000176,O202404280084,P144,4,0.29,0.21,2380.88,-246.73,692.84,553.6,True
OD0000177,O202404280084,P110,2,0.28,0.21,710.53,6.52,407.79,290.35,False
OD0000178,O202404280084,P105,3,0.05,0.21,833.36,228.98,241.66,153.25,False
OD0000179,O202411150085,P114,1,0.14,0.21,1382.1,364.29,1328.18,777.94,False
OD0000180,O202411150085,P107,4,0.15,0.21,524.12,72.8,127.4,90.09,False
OD0000181,O202507160086,P118,5,0.0,0.21,4830.2,937.3,798.38,610.92,False
OD0000182,O202312150087,P123,2,0.18,0.21,2615.9,655.4,1318.23,753.25,False
OD0000183,O202508290088,P127,3,0.28,0.21,1342.71,173.35,513.74,312.11,False
OD0000184,O202508290088,P112,4,0.08,0.21,1564.14,309.12,351.27,245.889,False
OD0000185,O202508290088,P121,3,0.15,0.21,945.3,238.6,306.37,180.88,False
OD0000186,O202312240089,P131,5,0.14,0.21,3239.08,922.77,622.54,350.83,False
OD0000187,O202312240089,P131,2,0.15,0.21,1280.56,356.66,622.54,350.83,False
OD0000188,O202312240089,P101,1,0.06,0.21,1268.1,395.93,1114.91,652.09,False
OD0000189,O202312240089,P140,5,0.28,0.21,5569.15,127.85,1278.5,894.9499999999999,False
OD0000190,O202506100090,P109,1,0.0,0.21,513.25,152.19,424.17,271.98,False
OD0000191,O202506100090,P127,4,0.0,0.21,2486.5,806.52,513.74,312.11,False
OD0000192,O202306090091,P155,5,0.03,0.21,7618.84,1410.61,1298.26,977.19,False
OD0000193,O202307220092,P148,4,0.29,0.21,1428.82,-32.28,415.79,303.28,True
OD0000194,O202412080093,P151,2,0.17,0.21,1300.07,168.28,647.25,453.075,False
OD0000195,O202412080093,P121,2,0.25,0.21,556.06,97.8,306.37,180.88,False
OD0000196,O202412080093,P112,2,0.14,0.21,731.06,112.41,351.27,245.889,False
OD0000197,O202301100094,P126,1,0.03,0.21,1148.24,-426.45,978.31,664.66,True
OD0000198,O202301100094,P159,4,0.2,0.21,1646.03,170.04,425.11,297.577,False
OD0000199,O202307290095,P111,5,0.05,0.21,2153.93,623.06,374.76,231.41,False
OD0000200,O202307290095,P129,5,0.27,0.21,4446.4,739.56,1006.77,587.03,False
OD0000201,O202402250096,P103,4,0.06,0.21,3850.1,726.66,846.25,613.81,False
OD0000202,O202402250096,P157,2,0.22,0.21,322.87,5.26,171.05,130.79,False
OD0000203,O202402250096,P154,1,0.0,0.21,197.41,37.36,163.15,125.79,False
OD0000204,O202508050097,P102,2,0.26,0.21,102.7,4.59,57.35,40.145,False
OD0000205,O202508050097,P141,3,0.25,0.21,3846.84,234.29,1412.98,981.64,False
OD0000206,O202305030098,P145,2,0.05,0.21,931.42,145.67,405.14,312.05,False
OD0000207,O202305030098,P130,2,0.0,0.21,2853.37,948.92,1179.08,704.62,False
OD0000208,O202305030098,P114,2,0.17,0.21,2667.78,648.9,1328.18,777.94,False
OD0000209,O202212200099,P140,3,0.0,0.21,4640.95,1150.65,1278.5,894.9499999999999,False
OD0000210,O202212200099,P145,1,0.19,0.21,397.08,16.11,405.14,312.05,False
OD0000211,O202308090100,P149,4,0.07,0.21,1729.18,564.4,384.16,216.17,False
OD0000212,O202308090100,P130,5,0.17,0.21,5920.75,1370.08,1179.08,704.62,False
OD0000213,O202509100101,P135,2,0.0,0.21,1775.31,513.14,733.6,477.03,False
OD0000214,O202509100101,P119,2,0.0,0.21,2795.61,870.16,1155.21,720.13,False
OD0000215,O202509100101,P152,4,0.09,0.21,5521.09,1619.45,1253.54,735.86,False
OD0000216,O202509100101,P151,5,0.14,0.21,3367.64,517.8,647.25,453.075,False
OD0000217,O202312150102,P158,4,0.01,0.21,2226.8,712.17,464.73,282.04,False
OD0000218,O202411230103,P144,5,0.24,0.21,3185.68,-135.21,692.84,553.6,True
OD0000219,O202411230103,P108,5,0.13,0.21,598.09,71.99,113.63,84.46,False
OD0000220,O202405300104,P133,1,0.0,0.21,772.71,-371.24,638.6,391.11,True
OD0000221,O202405300104,P101,5,0.28,0.21,4856.55,753.23,1114.91,652.09,False
OD0000222,O202405300104,P108,3,0.17,0.21,342.36,29.56,113.63,84.46,False
OD0000223,O202409160105,P105,4,0.07,0.21,1087.76,285.98,241.66,153.25,False
OD0000224,O202409160105,P141,3,0.3,0.21,3590.38,22.34,1412.98,981.64,False
OD0000225,O202409160105,P118,5,0.02,0.21,4733.6,857.46,798.38,610.92,False
OD0000226,O202505010106,P156,2,0.25,0.21,2518.29,269.38,1387.49,905.93,False
OD0000227,O202312270107,P157,1,0.0,0.21,206.97,40.26,171.05,130.79,False
OD0000228,O202312270107,P142,3,0.03,0.21,3484.06,1011.98,989.48,622.47,False
OD0000229,O202506070108,P125,5,0.21,0.21,6915.46,370.31,1446.9,1068.99,False
OD0000230,O202401180109,P154,1,0.16,0.21,165.83,11.26,163.15,125.79,False
OD0000231,O202310050110,P158,4,0.07,0.21,2091.84,600.64,464.73,282.04,False
OD0000232,O202310050110,P132,1,0.22,0.21,486.58,86.53,515.55,315.6,False
OD0000233,O202310050110,P143,3,0.0,0.21,1472.91,351.33,405.76,288.65,False
OD0000234,O202304090111,P111,2,0.22,0.21,707.4,121.81,374.76,231.41,False
OD0000235,O202304090111,P108,3,0.0,0.21,412.48,87.51,113.63,84.46,False
OD0000236,O202407140112,P114,5,0.24,0.21,6106.97,1157.38,1328.18,777.94,False
OD0000237,O202407140112,P132,5,0.0,0.21,3119.08,999.75,515.55,315.6,False
OD0000238,O202407140112,P127,3,0.08,0.21,1715.69,481.59,513.74,312.11,False
OD0000239,O202311260113,P118,4,0.0,0.21,3864.16,749.84,798.38,610.92,False
OD0000240,O202311260113,P144,5,0.0,0.21,4191.68,696.2,692.84,553.6,False
OD0000241,O202311260113,P150,1,0.25,0.21,460.09,-22.79,506.99,403.03,True
OD0000242,O202307040114,P134,3,0.25,0.21,232.42,-2.32,85.37,64.8,True
OD0000243,O202307040114,P134,1,0.25,0.21,77.47,-0.77,85.37,64.8,True
OD0000244,O202307040114,P119,4,0.0,0.21,5591.22,1740.32,1155.21,720.13,False
OD0000245,O202307040114,P148,3,0.1,0.21,1358.39,212.79,415.79,303.28,False
OD0000246,O202307050115,P133,2,0.0,0.21,1545.41,494.98,638.6,391.11,False
OD0000247,O202307050115,P104,5,0.0,0.21,2568.22,552.5,424.5,314.0,False
OD0000248,O202307050115,P116,3,0.24,0.21,2122.04,138.45,769.19,538.433,False
OD0000249,O202307050115,P126,4,0.12,0.21,4166.82,785.01,978.31,664.66,False
OD0000250,O202405130116,P136,5,0.16,0.21,7511.76,694.56,1478.11,1102.7,False
OD0000251,O202303140117,P156,4,0.21,0.21,5305.21,760.75,1387.49,905.93,False
OD0000252,O202303140117,P106,5,0.0,0.21,7700.26,1579.6,1272.77,956.85,False
OD0000253,O202211280118,P135,2,0.2,0.21,1420.25,219.7,733.6,477.03,False
OD0000254,O202211280118,P103,3,0.0,0.21,3071.89,697.32,846.25,613.81,False
OD0000255,O202211280118,P148,3,0.3,0.21,1056.52,-36.68,415.79,303.28,True
OD0000256,O202405010119,P112,5,0.03,0.21,2061.43,474.21,351.27,245.889,False
OD0000257,O202405010119,P108,1,0.25,0.21,103.12,0.76,113.63,84.46,False
OD0000258,O202301300120,P155,1,0.09,0.21,1429.51,204.23,1298.26,977.19,False
OD0000259,O202301300120,P118,3,0.17,0.21,2405.44,155.21,798.38,610.92,False
OD0000260,O202302050121,P110,3,0.07,0.21,1376.66,266.68,407.79,290.35,False
OD0000261,O202302050121,P154,1,0.28,0.21,142.14,-8.32,163.15,125.79,True
OD0000262,O202412040122,P147,5,0.08,0.21,7783.05,-1578.03,1398.32,1076.05,True
OD0000263,O202412040122,P117,1,0.03,0.21,291.5,67.28,248.36,173.63,False
OD0000264,O202501310123,P114,1,0.12,0.21,1414.25,390.86,1328.18,777.94,False
OD0000265,O202501310123,P131,1,0.28,0.21,542.36,97.4,622.54,350.83,False
OD0000266,O202502130124,P136,3,0.09,0.21,4882.64,727.14,1478.11,1102.7,False
OD0000267,O202502130124,P144,2,0.29,0.21,1190.44,-123.37,692.84,553.6,True
OD0000268,O202502130124,P134,4,0.0,0.21,413.19,82.28,85.37,64.8,False
OD0000269,O202506130125,P154,1,0.16,0.21,165.83,11.26,163.15,125.79,False
OD0000270,O202506130125,P139,2,0.08,0.21,188.58,23.75,84.7,66.05,False
OD0000271,O202409300126,P124,4,0.0,0.21,974.24,251.64,201.29,138.38,False
OD0000272,O202306180127,P130,2,0.0,0.21,2853.37,948.92,1179.08,704.62,False
OD0000273,O202306180127,P137,4,0.2,0.21,5561.74,638.08,1436.4,989.6,False
OD0000274,O202310040128,P138,1,0.29,0.21,287.26,3.34,334.37,234.059,False
OD0000275,O202501170129,P138,3,0.14,0.21,1043.84,160.5,334.37,234.059,False
OD0000276,O202501170129,P145,2,0.02,0.21,960.83,169.97,405.14,312.05,False
OD0000277,O202501170129,P105,4,0.0,0.21,1169.63,353.64,241.66,153.25,False
OD0000278,O202501170129,P128,5,0.07,0.21,1975.58,289.86,351.12,268.57,False
OD0000279,O202402060130,P135,3,0.17,0.21,2210.26,395.57,733.6,477.03,False
OD0000280,O202306090131,P117,1,0.09,0.21,273.47,52.38,248.36,173.63,False
OD0000281,O202306090131,P156,3,0.03,0.21,4885.49,1319.81,1387.49,905.93,False
OD0000282,O202305170132,P127,3,0.1,0.21,1678.39,450.77,513.74,312.11,False
OD0000283,O202303270133,P107,4,0.12,0.21,542.62,88.09,127.4,90.09,False
OD0000284,O202303270133,P122,4,0.28,0.21,2571.85,233.98,738.02,472.88,False
OD0000285,O202407070134,P109,1,0.01,0.21,508.11,147.95,424.17,271.98,False
OD0000286,O202407070134,P143,1,0.19,0.21,397.69,40.02,405.76,288.65,False
OD0000287,O202407070134,P113,3,0.15,0.21,1000.81,78.74,324.36,249.46,False
OD0000288,O202301250135,P157,4,0.22,0.21,645.75,10.52,171.05,130.79,False
OD0000289,O202305200136,P127,1,0.21,0.21,491.08,93.74,513.74,312.11,False
OD0000290,O202305200136,P157,2,0.26,0.21,306.32,-8.43,171.05,130.79,True
OD0000291,O202506300137,P142,3,0.25,0.21,2693.86,358.92,989.48,622.47,False
OD0000292,O202506300137,P133,4,0.2,0.21,2472.66,479.08,638.6,391.11,False
OD0000293,O202505200138,P113,1,0.06,0.21,368.93,55.44,324.36,249.46,False
OD0000294,O202505200138,P111,5,0.2,0.21,1813.84,341.99,374.76,231.41,False
OD0000295,O202505200138,P124,2,0.0,0.21,487.12,125.82,201.29,138.38,False
OD0000296,O202505130139,P101,1,0.07,0.21,1254.61,384.78,1114.91,652.09,False
OD0000297,O202505130139,P137,2,0.0,0.21,3476.09,-1340.4,1436.4,989.6,True
OD0000298,O202509020140,P116,4,0.26,0.21,2754.93,123.07,769.19,538.433,False
OD0000299,O202302080141,P120,5,0.0,0.21,8821.57,2355.45,1458.11,987.02,False
OD0000300,O202302080141,P103,3,0.22,0.21,2396.07,138.8,846.25,613.81,False
OD0000301,O202301210142,P136,4,0.0,0.21,7154.05,1501.64,1478.11,1102.7,False
OD0000302,O202301210142,P152,5,0.0,0.21,7583.92,2588.4,1253.54,735.86,False
OD0000303,O202507150143,P144,4,0.17,0.21,2783.28,85.83,692.84,553.6,False
OD0000304,O202301290144,P139,1,0.23,0.21,78.91,-0.83,84.7,66.05,True
OD0000305,O202504290145,P113,5,0.08,0.21,1805.39,244.76,324.36,249.46,False
OD0000306,O202504290145,P113,4,0.0,0.21,1569.9,299.6,324.36,249.46,False
OD0000307,O202212190146,P106,4,0.12,0.21,5420.98,652.75,1272.77,956.85,False
OD0000308,O202212190146,P131,1,0.21,0.21,595.09,140.98,622.54,350.83,False
OD0000309,O202212190146,P139,4,0.2,0.21,327.96,6.84,84.7,66.05,False
OD0000310,O202212190146,P160,2,0.19,0.21,2004.27,362.4,1022.48,647.01,False
OD0000311,O202411240147,P135,5,0.16,0.21,3728.16,695.97,733.6,477.03,False
OD0000312,O202303180148,P117,1,0.08,0.21,276.47,54.86,248.36,173.63,False
OD0000313,O202303180148,P151,4,0.14,0.21,2694.11,414.24,647.25,453.075,False
